iter	RMSE
0	38981.61509
1	38586.44826
2	38330.28107
3	38073.92274
4	37826.78356
5	37603.39102
6	37366.49936
7	37132.29737
8	36863.27679
9	36659.22542
10	36467.65304
11	36245.11903
12	36048.65206
13	35873.27333
14	35702.05306
15	35557.38749
16	35329.22274
17	35203.84612
18	35009.06419
19	34883.76673
20	34681.84566
21	34535.85937
22	34403.54371
23	34258.90978
24	34108.72861
25	33989.20707
26	33875.3755
27	33777.87363
28	33674.57462
29	33550.50521
30	33441.65664
31	33339.11128
32	33202.13775
33	33107.11543
34	32979.85609
35	32858.29845
36	32772.6606
37	32653.09619
38	32574.51408
39	32465.57928
40	32382.74889
41	32267.70511
42	32175.10241
43	32074.62955
44	31985.93586
45	31868.11792
46	31757.29668
47	31676.45652
48	31594.98884
49	31514.1232
50	31438.91021
51	31360.78015
52	31300.8606
53	31189.37572
54	31096.57499
55	31020.69971
56	30959.24074
57	30863.44783
58	30784.37005
59	30711.65335
60	30611.70108
61	30516.63867
62	30426.1555
63	30354.83223
64	30288.6679
65	30206.75667
66	30122.67288
67	30068.89225
68	29979.99492
69	29915.36728
70	29846.82318
71	29765.35963
72	29699.89289
73	29642.81414
74	29596.54819
75	29540.21417
76	29460.57468
77	29382.65061
78	29307.12094
79	29247.11172
80	29197.14374
81	29132.21828
82	29069.37672
83	29002.81153
84	28931.7128
85	28885.6146
86	28831.17177
87	28790.98139
88	28719.74116
89	28664.31477
90	28616.82017
91	28565.37121
92	28517.0123
93	28453.11253
94	28408.65777
95	28351.85673
96	28305.38703
97	28243.28488
98	28191.66897
99	28135.11542
100	28070.0797
101	28028.52161
102	27987.01592
103	27934.40639
104	27874.82196
105	27814.93059
106	27782.23598
107	27734.40634
108	27671.92238
109	27619.53485
110	27561.39048
111	27516.4162
112	27463.82889
113	27408.21799
114	27361.5649
115	27317.42012
116	27267.88619
117	27214.30947
118	27177.13486
119	27131.01651
120	27087.97967
121	27041.52757
122	26997.72983
123	26937.60805
124	26894.39457
125	26835.82103
126	26794.08195
127	26762.05966
128	26720.25698
129	26672.2168
130	26621.70925
131	26563.3825
132	26503.65745
133	26469.25695
134	26414.72491
135	26377.26851
136	26332.64129
137	26276.20299
138	26232.19688
139	26186.07191
140	26148.48278
141	26105.08238
142	26077.22429
143	26036.87058
144	25994.33353
145	25942.88402
146	25894.58318
147	25847.10426
148	25804.03858
149	25773.57315
150	25719.15607
151	25669.57021
152	25626.63713
153	25582.61417
154	25538.61861
155	25494.47192
156	25446.41052
157	25402.90006
158	25360.73448
159	25316.58292
160	25283.99949
161	25240.0572
162	25186.03964
163	25145.82525
164	25095.02397
165	25050.91575
166	25003.91908
167	24952.56381
168	24907.71642
169	24854.27521
170	24812.56514
171	24771.19737
172	24731.75595
173	24685.84709
174	24641.34326
175	24599.7058
176	24555.82553
177	24518.4772
178	24485.56618
179	24437.59011
180	24391.70502
181	24345.54958
182	24303.06905
183	24260.88558
184	24214.554
185	24178.72251
186	24140.55363
187	24099.35467
188	24061.81169
189	24017.2174
190	23976.36945
191	23931.94152
192	23893.96026
193	23852.56239
194	23817.64253
195	23780.60519
196	23738.30436
197	23691.61713
198	23654.62696
199	23619.25552
200	23586.28536
201	23552.31071
202	23507.82943
203	23470.14492
204	23430.82638
205	23389.90928
206	23351.35943
207	23310.57448
208	23266.90949
209	23233.90604
210	23195.13239
211	23161.87441
212	23126.29595
213	23097.35009
214	23062.90841
215	23031.06327
216	22990.62535
217	22952.51558
218	22918.00066
219	22879.42251
220	22840.6597
221	22810.53178
222	22780.63997
223	22743.62232
224	22701.24845
225	22672.04306
226	22636.64078
227	22609.92894
228	22573.55667
229	22545.31791
230	22506.82312
231	22474.33316
232	22438.5234
233	22407.08825
234	22371.44305
235	22339.8775
236	22310.47151
237	22273.50416
238	22245.66903
239	22210.27963
240	22176.22182
241	22149.13052
242	22122.24711
243	22087.5069
244	22061.93708
245	22036.69389
246	22000.26532
247	21968.90518
248	21939.14914
249	21906.01389
250	21877.62425
251	21852.88981
252	21825.91515
253	21794.31464
254	21765.9437
255	21739.70125
256	21709.87005
257	21675.18378
258	21644.9288
259	21612.36887
260	21580.90707
261	21551.14036
262	21522.79549
263	21498.04246
264	21466.10326
265	21438.91322
266	21413.39089
267	21383.41265
268	21358.36425
269	21329.49506
270	21299.83305
271	21265.16275
272	21239.19745
273	21215.87157
274	21189.74254
275	21161.17077
276	21137.91611
277	21111.29182
278	21085.86105
279	21062.49019
280	21040.39712
281	21019.10364
282	20992.90528
283	20971.84436
284	20947.24429
285	20918.01603
286	20889.49471
287	20864.31573
288	20835.21415
289	20815.201
290	20790.63773
291	20764.01414
292	20743.67396
293	20719.33697
294	20697.14596
295	20675.15736
296	20652.34116
297	20629.70031
298	20607.32179
299	20583.94045
300	20560.55801
301	20543.45587
302	20523.80837
303	20497.3521
304	20472.70657
305	20449.43037
306	20424.86518
307	20405.70987
308	20381.89217
309	20361.98073
310	20337.71702
311	20313.76034
312	20289.48371
313	20268.1088
314	20242.4784
315	20215.77564
316	20191.59501
317	20173.04676
318	20152.32488
319	20131.03549
320	20104.876
321	20084.2587
322	20064.01463
323	20040.15095
324	20014.51444
325	19994.05856
326	19974.85414
327	19956.55352
328	19935.34803
329	19910.27123
330	19892.25801
331	19869.88578
332	19847.39789
333	19824.36494
334	19804.66431
335	19787.42835
336	19765.23153
337	19747.69286
338	19730.60338
339	19706.87048
340	19686.73238
341	19669.97923
342	19649.29512
343	19630.87648
344	19610.37742
345	19591.80734
346	19572.21734
347	19550.99727
348	19531.24603
349	19512.38707
350	19490.52606
351	19469.4839
352	19448.86127
353	19432.77977
354	19416.85781
355	19400.30674
356	19383.11263
357	19364.76318
358	19350.81679
359	19330.8528
360	19313.02955
361	19294.24297
362	19274.17192
363	19255.59317
364	19236.00659
365	19219.39042
366	19198.27274
367	19180.72981
368	19165.3021
369	19148.295
370	19131.27916
371	19115.18553
372	19095.84655
373	19077.88279
374	19060.21509
375	19041.66605
376	19024.37339
377	19005.24312
378	18988.48129
379	18970.94053
380	18950.9376
381	18933.70569
382	18917.22953
383	18897.38744
384	18871.07854
385	18853.4233
386	18834.88704
387	18811.91019
388	18790.37104
389	18776.172
390	18761.98208
391	18741.46234
392	18722.77649
393	18704.84234
394	18691.1245
395	18675.44895
396	18660.41952
397	18644.02434
398	18628.69073
399	18608.455
400	18592.85025
401	18578.03124
402	18561.41002
403	18544.27875
404	18531.23222
405	18504.48495
406	18488.42955
407	18473.98775
408	18459.87744
409	18441.56058
410	18425.5107
411	18411.41497
412	18393.06579
413	18375.78562
414	18356.38246
415	18343.00501
416	18322.24473
417	18300.933
418	18285.31359
419	18268.09863
420	18252.43417
421	18238.07711
422	18225.70689
423	18213.18615
424	18194.58109
425	18178.43613
426	18164.93272
427	18150.61076
428	18132.71886
429	18112.00589
430	18099.51238
431	18083.77659
432	18068.85216
433	18051.84416
434	18036.97687
435	18021.34266
436	18007.85843
437	17994.08642
438	17981.3061
439	17966.07855
440	17952.87287
441	17941.87419
442	17925.3709
443	17908.76393
444	17893.66366
445	17879.38995
446	17867.36209
447	17854.11876
448	17842.89763
449	17829.58058
450	17816.16959
451	17802.28707
452	17789.15641
453	17776.70913
454	17763.2501
455	17751.72768
456	17740.29858
457	17729.08972
458	17714.71262
459	17700.06459
460	17682.91477
461	17668.83509
462	17657.48683
463	17638.43457
464	17620.73786
465	17607.88715
466	17594.44461
467	17576.65467
468	17565.3904
469	17552.50898
470	17540.09612
471	17527.24238
472	17512.60136
473	17500.40993
474	17479.57947
475	17465.86677
476	17454.63663
477	17442.60772
478	17430.42281
479	17417.15711
480	17406.63737
481	17390.61965
482	17379.73779
483	17370.38013
484	17351.49049
485	17334.29645
486	17319.97771
487	17305.70615
488	17292.99119
489	17279.63793
490	17267.85775
491	17253.15179
492	17241.36443
493	17231.94383
494	17220.74451
495	17209.25785
496	17191.67288
497	17180.12531
498	17164.16315
499	17150.87873
500	17139.36046
501	17125.8711
502	17115.97432
503	17105.52717
504	17094.68948
505	17078.6105
506	17066.20528
507	17053.93709
508	17041.89177
509	17031.38732
510	17020.63001
511	17010.46634
512	16997.64639
513	16986.73549
514	16975.46892
515	16965.57902
516	16951.60625
517	16940.29371
518	16925.98093
519	16912.17996
520	16900.51119
521	16888.54576
522	16879.38219
523	16867.59001
524	16858.93357
525	16846.39558
526	16835.66727
527	16825.08151
528	16812.45696
529	16797.71131
530	16785.77996
531	16772.75848
532	16763.98564
533	16752.98184
534	16743.22103
535	16731.27752
536	16718.05571
537	16704.86368
538	16694.2849
539	16682.69403
540	16671.67344
541	16661.15402
542	16647.68282
543	16639.29079
544	16628.51239
545	16619.15358
546	16609.47995
547	16599.20775
548	16588.37254
549	16574.52336
550	16565.6042
551	16555.16894
552	16545.32244
553	16535.29076
554	16522.02787
555	16515.28314
556	16501.4325
557	16492.13519
558	16483.47962
559	16474.24993
560	16459.71586
561	16449.05293
562	16441.05287
563	16424.44867
564	16413.1619
565	16401.26164
566	16391.39849
567	16378.22517
568	16367.91991
569	16359.72364
570	16351.90973
571	16343.25159
572	16332.72748
573	16322.54443
574	16309.18069
575	16299.84716
576	16291.7501
577	16284.18093
578	16272.79453
579	16265.7965
580	16253.7068
581	16246.93707
582	16236.85161
583	16227.97087
584	16212.56415
585	16198.71165
586	16187.80733
587	16179.14448
588	16166.15779
589	16159.01415
590	16150.24773
591	16141.91692
592	16134.80505
593	16126.05052
594	16114.92648
595	16105.07099
596	16098.0108
597	16086.99464
598	16076.57076
599	16067.82489
600	16059.76786
601	16051.11311
602	16043.32461
603	16035.69531
604	16026.27249
605	16013.27546
606	16004.40986
607	15996.1106
608	15986.79462
609	15975.95554
610	15966.57803
611	15957.91441
612	15950.6598
613	15942.17779
614	15935.21188
615	15920.13425
616	15907.90372
617	15898.457
618	15890.08654
619	15881.85609
620	15873.34955
621	15861.4375
622	15853.7837
623	15842.6964
624	15832.49331
625	15823.24385
626	15814.69908
627	15805.25032
628	15796.26124
629	15789.70128
630	15781.51436
631	15771.87646
632	15762.41124
633	15753.30546
634	15747.73973
635	15739.21401
636	15728.69348
637	15716.5743
638	15707.94833
639	15699.66351
640	15690.32086
641	15680.98499
642	15674.32268
643	15666.99265
644	15659.13415
645	15647.5803
646	15640.31647
647	15633.28366
648	15627.54848
649	15620.04498
650	15611.80116
651	15600.29443
652	15589.67966
653	15584.56827
654	15575.55436
655	15566.65731
656	15560.61674
657	15552.99899
658	15545.45914
659	15537.01574
660	15526.68714
661	15519.73023
