iter	Passed	Remaining
0	3	3714
1	6	3085
2	8	2822
3	10	2564
4	13	2536
5	17	2811
6	21	2848
7	24	2849
8	26	2820
9	29	2805
10	34	2906
11	36	2878
12	39	2854
13	42	2823
14	45	2815
15	48	2845
16	51	2836
17	54	2827
18	58	2854
19	68	3203
20	73	3247
21	76	3234
22	80	3256
23	96	3714
24	113	4189
25	116	4129
26	119	4078
27	122	4026
28	125	3989
29	128	3943
30	131	3903
31	134	3862
32	137	3824
33	141	3806
34	144	3775
35	147	3743
36	150	3711
37	154	3712
38	161	3782
39	165	3765
40	169	3761
41	172	3736
42	176	3713
43	189	3906
44	192	3867
45	194	3828
46	197	3789
47	201	3782
48	204	3753
49	207	3741
50	211	3721
51	215	3717
52	218	3695
53	221	3674
54	224	3653
55	227	3634
56	231	3633
57	235	3617
58	238	3602
59	247	3667
60	250	3650
61	253	3633
62	256	3617
63	261	3614
64	264	3597
65	266	3575
66	270	3569
67	275	3575
68	278	3552
69	280	3528
70	283	3508
71	295	3604
72	298	3590
73	302	3576
74	306	3570
75	308	3550
76	311	3535
77	314	3514
78	316	3490
79	318	3467
80	322	3458
81	324	3438
82	327	3419
83	330	3402
84	332	3383
85	334	3362
86	337	3348
87	339	3329
88	342	3312
89	344	3294
90	346	3275
91	349	3258
92	352	3248
93	354	3228
94	356	3208
95	358	3189
96	360	3170
97	362	3153
98	365	3139
99	368	3133
100	370	3116
101	372	3098
102	374	3081
103	376	3064
104	378	3048
105	382	3045
106	385	3033
107	387	3021
108	390	3010
109	392	2998
110	395	2988
111	397	2975
112	399	2961
113	401	2947
114	404	2933
115	406	2920
116	408	2909
117	411	2900
118	414	2895
119	422	2924
120	427	2928
121	460	3123
122	463	3113
123	467	3112
124	496	3274
125	499	3264
126	502	3254
127	505	3248
128	509	3242
129	512	3232
130	515	3221
131	518	3210
132	521	3204
133	525	3201
134	528	3189
135	530	3177
136	533	3165
137	536	3155
138	541	3157
139	544	3147
140	547	3139
141	552	3146
142	556	3138
143	558	3128
144	561	3116
145	565	3113
146	569	3110
147	572	3103
148	575	3092
149	577	3081
150	581	3075
151	583	3063
152	585	3051
153	588	3041
154	590	3030
155	593	3020
156	603	3048
157	606	3038
158	608	3027
159	611	3020
160	614	3010
161	616	2999
162	618	2988
163	621	2978
164	623	2967
165	626	2959
166	629	2949
167	631	2939
168	633	2928
169	636	2918
170	638	2907
171	641	2900
172	643	2890
173	645	2879
174	647	2868
175	649	2857
176	651	2846
177	653	2835
178	656	2829
179	658	2818
180	660	2807
181	663	2798
182	665	2790
183	668	2780
184	670	2772
185	673	2764
186	675	2754
187	677	2744
188	679	2735
189	681	2726
190	683	2716
191	686	2708
192	688	2701
193	690	2691
194	693	2683
195	695	2674
196	697	2665
197	699	2655
198	701	2648
199	703	2638
200	705	2629
201	707	2620
202	709	2612
203	711	2603
204	714	2595
205	716	2589
206	719	2582
207	721	2575
208	724	2568
209	726	2560
210	728	2551
211	731	2544
212	733	2537
213	735	2529
214	737	2521
215	746	2537
216	749	2532
217	752	2526
218	754	2519
219	756	2511
220	759	2503
221	762	2498
222	764	2491
223	766	2483
224	768	2476
225	770	2469
226	773	2462
227	775	2455
228	778	2451
229	780	2444
230	782	2436
231	785	2429
232	787	2422
233	789	2415
234	792	2411
235	794	2403
236	796	2397
237	798	2390
238	801	2383
239	803	2377
240	806	2373
241	809	2366
242	811	2361
243	813	2354
244	815	2347
245	818	2341
246	821	2337
247	823	2330
248	825	2324
249	828	2318
250	830	2311
251	832	2305
252	835	2300
253	837	2295
254	840	2289
255	842	2284
256	844	2278
257	847	2272
258	849	2266
259	852	2261
260	854	2256
261	857	2250
262	859	2245
263	861	2239
264	864	2233
265	867	2229
266	870	2225
267	874	2224
268	889	2251
269	911	2296
270	914	2292
271	918	2289
272	929	2304
273	945	2332
274	965	2370
275	968	2365
276	976	2371
277	979	2366
278	981	2361
279	984	2356
280	987	2351
281	1022	2421
282	1026	2418
283	1029	2413
284	1031	2407
285	1034	2401
286	1040	2404
287	1046	2404
288	1049	2400
289	1053	2398
290	1056	2392
291	1059	2387
292	1062	2381
293	1064	2375
294	1067	2371
295	1070	2365
296	1073	2359
297	1075	2354
298	1078	2348
299	1081	2342
300	1083	2337
301	1086	2330
302	1088	2324
303	1090	2317
304	1092	2311
305	1095	2304
306	1097	2299
307	1100	2294
308	1103	2288
309	1105	2282
310	1108	2277
311	1112	2275
312	1115	2270
313	1118	2265
314	1121	2260
315	1123	2254
316	1126	2249
317	1128	2242
318	1130	2236
319	1132	2230
320	1134	2223
321	1137	2218
322	1139	2212
323	1142	2207
324	1144	2201
325	1146	2195
326	1148	2188
327	1150	2182
328	1153	2176
329	1155	2171
330	1158	2165
331	1160	2159
332	1162	2153
333	1164	2147
334	1166	2141
335	1168	2135
336	1170	2129
337	1172	2123
338	1175	2118
339	1177	2112
340	1179	2106
341	1181	2100
342	1184	2095
343	1187	2091
344	1189	2086
345	1192	2082
346	1195	2076
347	1197	2071
348	1200	2067
349	1203	2062
350	1205	2056
351	1207	2051
352	1209	2045
353	1211	2040
354	1213	2034
355	1216	2029
356	1218	2024
357	1220	2018
358	1222	2013
359	1224	2007
360	1227	2001
361	1229	1997
362	1232	1992
363	1234	1987
364	1236	1982
365	1239	1977
366	1241	1972
367	1245	1969
368	1248	1965
369	1250	1960
370	1253	1955
371	1255	1950
372	1257	1945
373	1260	1940
374	1262	1935
375	1264	1930
376	1267	1925
377	1269	1921
378	1273	1918
379	1276	1915
380	1279	1911
381	1282	1907
382	1284	1902
383	1287	1897
384	1290	1893
385	1292	1888
386	1294	1883
387	1297	1878
388	1299	1873
389	1301	1868
390	1304	1865
391	1307	1861
392	1309	1856
393	1312	1852
394	1314	1847
395	1317	1842
396	1320	1839
397	1322	1833
398	1324	1828
399	1326	1823
400	1328	1818
401	1330	1813
402	1332	1808
403	1335	1804
404	1337	1800
405	1339	1795
406	1341	1790
407	1343	1784
408	1345	1779
409	1347	1775
410	1350	1771
411	1353	1767
412	1355	1762
413	1357	1757
414	1359	1752
415	1361	1747
416	1363	1742
417	1366	1739
418	1368	1734
419	1370	1729
420	1373	1725
421	1374	1720
422	1376	1715
423	1378	1710
424	1381	1706
425	1383	1701
426	1385	1697
427	1388	1692
428	1390	1688
429	1391	1683
430	1394	1678
431	1396	1674
432	1398	1669
433	1400	1664
434	1402	1660
435	1404	1655
436	1406	1651
437	1411	1650
438	1426	1660
439	1429	1656
440	1431	1652
441	1434	1648
442	1438	1646
443	1495	1704
444	1519	1724
445	1522	1720
446	1524	1715
447	1527	1711
448	1529	1707
449	1532	1702
450	1536	1700
451	1539	1696
452	1541	1691
453	1544	1687
