iter	Passed	Remaining
0	2	2477
1	6	2952
2	9	3046
3	11	2822
4	14	2789
5	18	2840
6	22	3053
7	25	3058
8	29	3053
9	32	3037
10	37	3165
11	40	3149
12	42	3096
13	45	3048
14	48	3024
15	61	3609
16	65	3568
17	72	3738
18	75	3692
19	78	3634
20	80	3574
21	84	3573
22	87	3519
23	89	3466
24	92	3434
25	95	3391
26	99	3394
27	102	3359
28	104	3315
29	106	3273
30	109	3231
31	111	3199
32	114	3183
33	116	3152
34	119	3120
35	121	3088
36	123	3054
37	126	3034
38	129	3021
39	131	2993
40	133	2965
41	136	2942
42	138	2918
43	140	2895
44	143	2888
45	145	2867
46	148	2846
47	150	2828
48	152	2810
49	155	2797
50	159	2807
51	162	2797
52	164	2785
53	166	2767
54	169	2754
55	171	2738
56	176	2758
57	178	2744
58	180	2725
59	182	2707
60	184	2688
61	186	2668
62	189	2664
63	191	2650
64	193	2634
65	195	2618
66	197	2600
67	199	2585
68	201	2568
69	204	2567
70	206	2555
71	208	2543
72	210	2529
73	212	2517
74	214	2504
75	216	2494
76	221	2507
77	223	2497
78	225	2484
79	227	2474
80	229	2462
81	231	2451
82	235	2455
83	237	2444
84	239	2434
85	246	2480
86	251	2498
87	254	2490
88	256	2477
89	257	2464
90	259	2451
91	261	2439
92	266	2454
93	268	2446
94	270	2434
95	272	2422
96	274	2410
97	275	2398
98	277	2388
99	281	2393
100	283	2384
101	285	2374
102	287	2363
103	289	2352
104	291	2342
105	293	2336
106	296	2333
107	298	2323
108	299	2312
109	301	2302
110	303	2291
111	305	2284
112	307	2281
113	310	2277
114	312	2269
115	314	2261
116	316	2253
117	318	2245
118	320	2236
119	322	2232
120	324	2226
121	326	2217
122	328	2208
123	330	2200
124	333	2198
125	335	2193
126	338	2194
127	340	2189
128	343	2183
129	345	2176
130	347	2170
131	349	2165
132	351	2159
133	354	2156
134	356	2150
135	358	2144
136	360	2139
137	362	2132
138	364	2126
139	366	2119
140	369	2118
141	371	2112
142	373	2107
143	375	2102
144	377	2098
145	380	2092
146	465	2544
147	468	2538
148	471	2533
149	473	2527
150	476	2521
151	479	2517
152	489	2547
153	491	2541
154	494	2534
155	497	2530
156	499	2522
157	501	2515
158	504	2507
159	506	2501
160	509	2495
161	512	2492
